index,fips,year,temp,tempc
272281,41009,1926,51.43333333333333,10.796296296296296
272282,41009,1927,48.7,9.27777777777778
272283,41009,1928,49.16666666666666,9.537037037037036
272284,41009,1929,48.075,8.930555555555557
272285,41009,1930,48.175,8.986111111111109
272286,41009,1931,49.98333333333333,9.99074074074074
272287,41009,1932,49.325,9.625000000000002
272288,41009,1933,48.93333333333334,9.40740740740741
272289,41009,1934,52.41666666666666,11.34259259259259
272290,41009,1935,48.891666666666666,9.38425925925926
272291,41009,1936,49.71666666666667,9.842592592592592
272292,41009,1937,49.333333333333336,9.629629629629632
272293,41009,1938,50.05,10.027777777777777
272294,41009,1939,50.575,10.319444444444446
272295,41009,1940,51.516666666666666,10.842592592592592
272296,41009,1941,51.36666666666667,10.75925925925926
272297,41009,1942,49.825,9.90277777777778
272298,41009,1943,49.125,9.51388888888889
272299,41009,1944,49.575,9.763888888888893
272300,41009,1945,49.55,9.749999999999998
272301,41009,1946,49.325,9.625000000000002
272302,41009,1947,50.54166666666666,10.300925925925924
272303,41009,1948,48.25,9.02777777777778
272304,41009,1949,48.59166666666667,9.217592592592592
272305,41009,1950,48.43333333333334,9.129629629629632
272306,41009,1951,49.30833333333334,9.615740740740742
272307,41009,1952,49.325,9.625000000000002
272308,41009,1953,50.21666666666667,10.120370370370372
272309,41009,1954,48.391666666666666,9.10648148148148
272310,41009,1955,47.15833333333333,8.421296296296296
272311,41009,1956,48.725,9.291666666666666
272312,41009,1957,49.333333333333336,9.629629629629632
272313,41009,1958,52.325,11.291666666666668
272314,41009,1959,49.48333333333333,9.712962962962964
272315,41009,1960,49.13333333333333,9.518518518518515
272316,41009,1961,50.41666666666666,10.23148148148148
272317,41009,1962,49.3,9.611111111111107
272318,41009,1963,49.75833333333333,9.86574074074074
272319,41009,1964,48.24166666666667,9.023148148148149
272320,41009,1965,50.15833333333333,10.087962962962962
272321,41009,1966,50.19166666666667,10.106481481481485
272322,41009,1967,50.875,10.48611111111111
272323,41009,1968,49.93333333333334,9.962962962962964
272324,41009,1969,49.375,9.65277777777778
272325,41009,1970,49.583333333333336,9.76851851851852
272326,41009,1971,48.85,9.36111111111111
272327,41009,1972,49.40833333333333,9.671296296296296
272328,41009,1973,49.766666666666666,9.87037037037037
272329,41009,1974,49.925,9.958333333333332
272330,41009,1975,48.93333333333334,9.40740740740741
272331,41009,1976,49.391666666666666,9.662037037037036
272332,41009,1977,49.66666666666666,9.814814814814811
272333,41009,1978,50.16666666666666,10.09259259259259
272334,41009,1979,50.31666666666666,10.175925925925924
272335,41009,1980,49.66666666666666,9.814814814814811
272336,41009,1981,50.708333333333336,10.39351851851852
272337,41009,1982,49.30833333333334,9.615740740740742
272338,41009,1983,50.34166666666667,10.189814814814817
272339,41009,1984,49.46666666666667,9.703703703703704
272340,41009,1985,48.3,9.055555555555554
272341,41009,1986,51.25833333333333,10.699074074074073
272342,41009,1987,51.80833333333333,11.004629629629628
272343,41009,1988,50.708333333333336,10.39351851851852
272344,41009,1989,50.19166666666667,10.106481481481485
272345,41009,1990,50.65833333333333,10.36574074074074
272346,41009,1991,50.641666666666666,10.35648148148148
272347,41009,1992,52.59166666666667,11.439814814814817
272348,41009,1993,49.875,9.930555555555555
272349,41009,1994,50.8,10.444444444444445
272350,41009,1995,51.766666666666666,10.98148148148148
272351,41009,1996,50.25,10.13888888888889
272352,41009,1997,51.2,10.666666666666668
272353,41009,1998,51.59166666666667,10.88425925925926
272354,41009,1999,50.208333333333336,10.115740740740742
272355,41009,2000,50.016666666666666,10.00925925925926
272356,41009,2001,50.28333333333333,10.157407407407408
272357,41009,2002,50.7,10.388888888888893
272358,41009,2003,51.95,11.083333333333336
272359,41009,2004,51.96666666666667,11.092592592592592
272360,41009,2005,51.025,10.569444444444445
272361,41009,2006,50.975,10.541666666666666
272362,41009,2007,50.28333333333333,10.157407407407408
272363,41009,2008,49.74166666666667,9.856481481481485
272364,41009,2009,50.141666666666666,10.078703703703702
272365,41009,2010,50.63333333333333,10.351851851851851
272366,41009,2011,49.05833333333333,9.476851851851851
272367,41009,2012,50.3,10.166666666666664
272368,41009,2013,50.40833333333333,10.226851851851851
272369,41009,2014,52.425,11.34722222222222
272370,41009,2015,53.325,11.847222222222223
272371,41009,2016,52.43333333333333,11.351851851851851
272372,41009,2017,50.675,10.374999999999998
272373,41009,2018,51.725,10.958333333333334
272374,41009,2019,50.625,10.34722222222222
272375,41011,1895,50.9,10.5
272376,41011,1896,51.49166666666667,10.828703703703704
272377,41011,1897,51.575,10.875000000000002
272378,41011,1898,51.275,10.708333333333334
272379,41011,1899,50.79166666666666,10.439814814814811
272380,41011,1900,52.24166666666667,11.245370370370372
272381,41011,1901,51.016666666666666,10.564814814814817
272382,41011,1902,50.69166666666666,10.384259259259258
272383,41011,1903,50.41666666666666,10.23148148148148
272384,41011,1904,50.958333333333336,10.53240740740741
272385,41011,1905,51.15833333333333,10.643518518518515
272386,41011,1906,51.19166666666666,10.662037037037036
272387,41011,1907,51.11666666666667,10.620370370370372
272388,41011,1908,49.75,9.86111111111111
272389,41011,1909,49.56666666666666,9.759259259259258
272390,41011,1910,50.5,10.27777777777778
272391,41011,1911,48.29166666666666,9.050925925925924
272392,41011,1912,49.60833333333333,9.782407407407408
272393,41011,1913,49.84166666666667,9.912037037037038
272394,41011,1914,50.59166666666667,10.328703703703704
272395,41011,1915,50.85,10.47222222222222
272396,41011,1916,48.88333333333333,9.379629629629628
272397,41011,1917,49.725,9.84722222222222
272398,41011,1918,50.91666666666666,10.509259259259258
272399,41011,1919,49.55,9.749999999999998
272400,41011,1920,49.675,9.819444444444445
272401,41011,1921,50.675,10.374999999999998
272402,41011,1922,49.458333333333336,9.699074074074076
272403,41011,1923,51.1,10.61111111111111
272404,41011,1924,50.575,10.319444444444446
272405,41011,1925,51.55833333333333,10.86574074074074
272406,41011,1926,53.0,11.666666666666666
272407,41011,1927,50.9,10.5
272408,41011,1928,51.61666666666667,10.898148148148149
272409,41011,1929,49.88333333333333,9.935185185185183
272410,41011,1930,50.59166666666667,10.328703703703704
272411,41011,1931,51.708333333333336,10.949074074074076
272412,41011,1932,50.4,10.22222222222222
272413,41011,1933,50.05833333333334,10.03240740740741
272414,41011,1934,53.60833333333333,12.00462962962963
272415,41011,1935,50.45,10.250000000000002
272416,41011,1936,51.49166666666667,10.828703703703704
272417,41011,1937,50.641666666666666,10.35648148148148
272418,41011,1938,50.93333333333334,10.51851851851852
272419,41011,1939,52.016666666666666,11.12037037037037
272420,41011,1940,52.66666666666666,11.48148148148148
272421,41011,1941,52.56666666666666,11.425925925925924
272422,41011,1942,51.5,10.833333333333334
272423,41011,1943,51.09166666666667,10.606481481481485
272424,41011,1944,50.975,10.541666666666666
272425,41011,1945,51.1,10.61111111111111
272426,41011,1946,50.45,10.250000000000002
272427,41011,1947,51.69166666666666,10.939814814814811
272428,41011,1948,49.38333333333333,9.657407407407408
272429,41011,1949,50.25,10.13888888888889
272430,41011,1950,51.03333333333333,10.574074074074073
272431,41011,1951,51.04166666666666,10.578703703703702
272432,41011,1952,50.31666666666666,10.175925925925924
272433,41011,1953,51.43333333333333,10.796296296296296
272434,41011,1954,50.75833333333333,10.421296296296296
272435,41011,1955,49.18333333333334,9.546296296296298
272436,41011,1956,49.975,9.98611111111111
272437,41011,1957,51.34166666666667,10.745370370370372
272438,41011,1958,53.458333333333336,11.921296296296298
272439,41011,1959,51.49166666666667,10.828703703703704
272440,41011,1960,51.16666666666667,10.64814814814815
272441,41011,1961,51.69166666666667,10.939814814814817
272442,41011,1962,51.05,10.583333333333332
272443,41011,1963,51.575,10.875000000000002
272444,41011,1964,50.275,10.15277777777778
272445,41011,1965,51.35833333333333,10.75462962962963
272446,41011,1966,51.583333333333336,10.879629629629632
272447,41011,1967,51.641666666666666,10.912037037037036
272448,41011,1968,52.208333333333336,11.226851851851857
272449,41011,1969,51.03333333333333,10.574074074074073
272450,41011,1970,51.3,10.72222222222222
272451,41011,1971,50.09166666666667,10.050925925925927
272452,41011,1972,51.06666666666666,10.59259259259259
272453,41011,1973,51.78333333333333,10.99074074074074
272454,41011,1974,51.36666666666667,10.75925925925926
272455,41011,1975,50.91666666666666,10.509259259259258
272456,41011,1976,50.925,10.513888888888888
272457,41011,1977,51.708333333333336,10.949074074074076
272458,41011,1978,52.19166666666667,11.217592592592592
272459,41011,1979,52.61666666666667,11.453703703703704
272460,41011,1980,52.0,11.11111111111111
272461,41011,1981,52.958333333333336,11.64351851851852
272462,41011,1982,50.91666666666666,10.509259259259258
272463,41011,1983,52.641666666666666,11.467592592592592
